network_a	network_b	jaccard_feedback	jaccard_ffl_top_decile	n_feedback_a	n_feedback_b	n_ffl_top_a	n_ffl_top_b
healthy_pooled	tumour_breast_invasive_carcinoma	0.012987012987012988	0.0005794302269435056	77	79	6307	4054
healthy_pooled	tumour_uterine_corpus_endometrioid_carcinoma	0.0	0.0	77	41	6307	1505
healthy_pooled	tumour_head_neck_squamous_cell_carcinoma	0.008333333333333333	0.0001201634222542658	77	44	6307	2016
healthy_pooled	tumour_brain_lower_grade_glioma	0.007407407407407408	0.0001194885888397658	77	59	6307	2063
healthy_pooled	tumour_lung_adenocarcinoma	0.013605442176870748	0.0003593675131768088	77	72	6307	2044
healthy_pooled	tumour_thyroid_carcinoma	0.006289308176100629	0.0	77	83	6307	3205
healthy_pooled	tumour_kidney_clear_cell_carcinoma	0.0	0.0	77	43	6307	2058
healthy_pooled	tumour_prostate_adenocarcinoma	0.0	0.0	77	42	6307	1433
healthy_pooled	tumour_ovarian_serous_cystadenocarcinoma	0.007633587786259542	0.00013114754098360657	77	55	6307	1319
healthy_pooled	tumour_lung_squamous_cell_carcinoma	0.00819672131147541	0.00012623074981065388	77	46	6307	1616
healthy_pooled	tumour_stomach_adenocarcinoma	0.016666666666666666	0.00039318479685452164	77	45	6307	1326
healthy_pooled	tumour_colon_adenocarcinoma	0.0	0.00026465528648934763	77	49	6307	1252
healthy_pooled	tumour_bladder_urothelial_carcinoma	0.007692307692307693	0.0002568383202773854	77	54	6307	1482
healthy_pooled	tumour_liver_hepatocellular_carcinoma	0.008333333333333333	0.0004847309743092584	77	44	6307	1949
healthy_pooled	tumour_cervical_endocervical_cancer	0.007633587786259542	0.00073117231294175	77	55	6307	1905
healthy_pooled	tumour_kidney_papillary_cell_carcinoma	0.0	0.0001232134056185313	77	57	6307	1810
healthy_pooled	tumour_sarcoma	0.007874015748031496	0.00012256403971074888	77	51	6307	1853
healthy_pooled	tumour_esophageal_carcinoma	0.024	0.000815078960774325	77	51	6307	3516
healthy_pooled	tumour_pheochromocytoma_paraganglioma	0.0	0.0	77	71	6307	1781
healthy_pooled	tumour_pancreatic_adenocarcinoma	0.008547008547008548	0.0002522386177323748	77	41	6307	1624
