TF	n_targets	dominant_sign	source
SP1	1333	activator	collectri
TP53	977	activator	collectri
RELA	962	activator	collectri
NFKB1	934	activator	collectri
JUN	900	activator	collectri
MYC	886	activator	collectri
NFKB2	818	activator	collectri
REL	816	activator	collectri
RELB	814	activator	collectri
RELA_RELB	797	activator	collectri
NFKB1_NFKB2	797	activator	collectri
NFKB2_RELA	797	activator	collectri
REL_RELB	797	activator	collectri
REL_RELA	797	activator	collectri
NFKB2_REL	797	activator	collectri
NFKB2_RELB	797	activator	collectri
NFKB1_RELA	797	activator	collectri
NFKB1_REL	797	activator	collectri
NFKB1_RELB	797	activator	collectri
ESR1	630	activator	collectri
JUND	623	activator	collectri
JUNB	620	activator	collectri
FOS_JUNB	592	activator	collectri
JUNB_JUND	592	activator	collectri
FOSL2_JUNB	592	activator	collectri
FOSL2_JUND	592	activator	collectri
FOSL1_JUND	592	activator	collectri
FOSL1_JUNB	592	activator	collectri
FOS_JUN	592	activator	collectri
FOS_JUND	592	activator	collectri
FOSL1_JUN	592	activator	collectri
FOSL2_JUN	592	activator	collectri
JUN_JUND	592	activator	collectri
JUN_JUNB	592	activator	collectri
FOSB_JUND	592	activator	collectri
FOSB_JUNB	592	activator	collectri
FOSB_JUN	592	activator	collectri
AR	512	activator	collectri
CREB1	464	activator	collectri
HIF1A	460	activator	collectri
CEBPB	449	activator	collectri
SP3	449	activator	collectri
STAT3	435	activator	collectri
PPARG	367	activator	collectri
EGR1	359	activator	collectri
SPI1	343	activator	collectri
FOS	341	activator	collectri
CTNNB1	340	activator	collectri
TFAP2A	314	activator	collectri
E2F1	314	activator	collectri
STAT1	303	activator	collectri
NR3C1	291	activator	collectri
HNF4A	280	activator	collectri
FOXO1	279	activator	collectri
PPARA	268	activator	collectri
YY1	264	activator	collectri
CEBPA	233	activator	collectri
ETS1	231	activator	collectri
NR1I2	230	activator	collectri
USF1	226	activator	collectri
STAT5A	214	activator	collectri
ESR2	207	activator	collectri
CEBPG	205	activator	collectri
TP63	204	activator	collectri
NFE2L2	203	activator	collectri
RUNX1	196	activator	collectri
FOXO3	195	activator	collectri
GATA3	193	activator	collectri
AHR	193	activator	collectri
SMAD3	189	activator	collectri
RARA	186	activator	collectri
DNMT1	185	activator	collectri
MYB	182	activator	collectri
GLI1	178	activator	collectri
E2F4	169	activator	collectri
IRF1	168	activator	collectri
TBP	166	activator	collectri
PAX6	166	activator	collectri
EZH2	156	activator	collectri
WT1	156	activator	collectri
RBPJ	155	activator	collectri
HNF1A	152	activator	collectri
GLI2	151	activator	collectri
VDR	150	activator	collectri
GATA1	147	activator	collectri
SSRP1	147	activator	collectri
CTCF	145	activator	collectri
MYOD1	143	activator	collectri
SMAD4	142	activator	collectri
PITX2	141	activator	collectri
GATA4	139	activator	collectri
MYCN	139	activator	collectri
NR1H3	136	activator	collectri
NR1H4	135	activator	collectri
FOXA2	134	activator	collectri
PGR	132	activator	collectri
SREBF1	130	activator	collectri
TCF3	129	activator	collectri
RUNX2	128	activator	collectri
KLF4	128	activator	collectri
ATF4	127	activator	collectri
STAT6	126	activator	collectri
TP73	125	activator	collectri
POU2F1	124	activator	collectri
NFATC1	122	activator	collectri
LEF1	119	activator	collectri
NR0B2	118	repressor	collectri
ATF2	118	activator	collectri
MEF2A	118	activator	collectri
TCF7L2	117	activator	collectri
PAX3	115	activator	collectri
USF2	114	activator	collectri
CUX1	112	activator	collectri
MITF	111	activator	collectri
RXRA	111	activator	collectri
ETS2	111	activator	collectri
NR4A1	110	activator	collectri
ATF3	109	activator	collectri
NR5A1	107	activator	collectri
SMAD2	107	activator	collectri
STAT5B	105	activator	collectri
GATA2	105	activator	collectri
SRF	104	activator	collectri
SOX9	104	activator	collectri
HSF1	102	activator	collectri
PPARD	100	activator	collectri
DDIT3	100	activator	collectri
BCL6	99	activator	collectri
SNAI1	98	activator	collectri
FOXM1	96	activator	collectri
CEBPD	96	activator	collectri
TAL1	95	activator	collectri
FLI1	94	activator	collectri
HR	94	activator	collectri
POU5F1	93	activator	collectri
NFATC2	93	activator	collectri
NFYA	93	activator	collectri
HES1	92	activator	collectri
EPAS1	92	activator	collectri
YBX1	91	activator	collectri
NCOA1	91	activator	collectri
NRF1	90	activator	collectri
SOX2	89	activator	collectri
NCOR1	89	activator	collectri
MEF2C	89	activator	collectri
MBD2	89	activator	collectri
RORA	88	activator	collectri
CREM	87	activator	collectri
GATA6	86	activator	collectri
PDX1	86	activator	collectri
ATF1	85	activator	collectri
THRA	83	activator	collectri
KAT7	83	activator	collectri
HDAC1	83	repressor	collectri
IRF3	82	activator	collectri
REST	81	repressor	collectri
NFIC	81	activator	collectri
NR2F2	79	activator	collectri
ELF1	79	activator	collectri
TWIST1	78	activator	collectri
ID1	77	activator	collectri
CDX2	77	activator	collectri
KLF5	75	activator	collectri
EP300	74	activator	collectri
NCOA3	74	activator	collectri
TFCP2	74	activator	collectri
SMAD1	74	activator	collectri
NKX2-5	73	activator	collectri
EGR2	73	activator	collectri
NEUROD1	72	activator	collectri
HMGA1	72	activator	collectri
FOXA1	71	activator	collectri
NKX3-1	71	activator	collectri
DNMT3B	70	activator	collectri
SREBF2	70	activator	collectri
ASCL1	70	activator	collectri
RUNX3	69	activator	collectri
KMT2A	69	activator	collectri
ARNT	68	activator	collectri
NCOR2	68	activator	collectri
E2F3	68	activator	collectri
IRF8	68	activator	collectri
NOTCH1	67	activator	collectri
NR2F1	67	activator	collectri
CLOCK	67	activator	collectri
PAX5	67	activator	collectri
KLF2	66	activator	collectri
SMAD7	66	repressor	collectri
PRDM1	66	mixed	collectri
ETV4	66	activator	collectri
ID2	66	activator	collectri
HNF1B	64	activator	collectri
MAF	64	activator	collectri
MYOG	64	activator	collectri
NR5A2	64	activator	collectri
NCOA2	64	activator	collectri
NKX2-1	63	activator	collectri
ZEB1	63	repressor	collectri
SIRT1	62	repressor	collectri
IRF2	61	activator	collectri
NR1I3	61	activator	collectri
PBX1	61	activator	collectri
ELK1	61	activator	collectri
KLF6	60	activator	collectri
NR4A2	60	activator	collectri
DNMT3A	60	mixed	collectri
BRCA1	60	activator	collectri
NFIA	60	activator	collectri
TTF1	60	activator	collectri
IRF4	59	activator	collectri
NANOG	59	activator	collectri
NR2C2	59	activator	collectri
TCF4	58	activator	collectri
EWSR1	58	activator	collectri
ERG	58	activator	collectri
KAT5	58	activator	collectri
BMAL1	58	activator	collectri
NR0B1	58	activator	collectri
ATF6	57	activator	collectri
THRB	57	activator	collectri
POU1F1	56	activator	collectri
FOXN1	56	activator	collectri
NR3C2	56	activator	collectri
XBP1	56	activator	collectri
ZNF699	55	activator	collectri
GFI1	54	activator	collectri
SMARCA1	54	activator	collectri
FOXP3	54	activator	collectri
TBX21	53	activator	collectri
RARB	53	activator	collectri
IKZF1	52	activator	collectri
MYBL2	52	activator	collectri
MTA1	52	activator	collectri
FOSL1	51	activator	collectri
NFAT5	51	activator	collectri
TCF12	51	activator	collectri
ZBTB16	50	activator	collectri
POU2F2	50	activator	collectri
E2F2	50	activator	collectri
STAT2	50	activator	collectri
ELF4	50	activator	collectri
NR1H2	49	activator	collectri
ZNF91	49	activator	collectri
HOXA10	49	activator	collectri
SP4	48	activator	collectri
GABPA	48	activator	collectri
SNAI2	48	repressor	collectri
MAX	48	activator	collectri
ESRRA	48	activator	collectri
HBP1	48	activator	collectri
MAZ	47	activator	collectri
MSX2	47	activator	collectri
MAFB	46	activator	collectri
SP7	45	activator	collectri
SOX17	45	activator	collectri
SATB1	44	activator	collectri
DLX4	43	activator	collectri
CDX1	43	activator	collectri
BHLHE40	43	activator	collectri
ZBTB17	43	activator	collectri
GLI3	43	activator	collectri
OTX2	43	activator	collectri
NFATC4	42	activator	collectri
HMGA2	42	activator	collectri
FOSL2	42	activator	collectri
TAF1	42	activator	collectri
APEX1	41	activator	collectri
NFATC3	41	activator	collectri
LHX2	41	activator	collectri
SRY	41	activator	collectri
E2F6	41	activator	collectri
ISL1	41	activator	collectri
NR4A3	40	activator	collectri
RARG	40	activator	collectri
HAND2	40	activator	collectri
TBPL1	40	activator	collectri
NFYB	40	activator	collectri
HOXA9	39	activator	collectri
PITX1	39	activator	collectri
FOSB	38	activator	collectri
NFIL3	38	repressor	collectri
SOX10	37	activator	collectri
DLX5	37	activator	collectri
TFAP4	36	activator	collectri
IRF5	36	activator	collectri
ZBTB7A	36	activator	collectri
TFE3	36	activator	collectri
DBP	36	activator	collectri
CREBBP	36	activator	collectri
CEBPE	36	activator	collectri
KDM5B	36	activator	collectri
NRG1	36	activator	collectri
NEUROG3	35	activator	collectri
ONECUT1	35	activator	collectri
ID3	35	activator	collectri
SMAD5	35	activator	collectri
TFAP2C	34	activator	collectri
PROX1	34	activator	collectri
POU4F2	34	activator	collectri
IRF7	34	activator	collectri
TWIST2	34	activator	collectri
MECP2	34	repressor	collectri
PAX8	34	activator	collectri
TBX2	33	repressor	collectri
ELF3	33	activator	collectri
RB1	33	repressor	collectri
EBF1	33	activator	collectri
HEY1	33	repressor	collectri
PPARGC1A	33	activator	collectri
JDP2	33	activator	collectri
EGR3	32	activator	collectri
MTF1	32	activator	collectri
FOXP1	32	activator	collectri
CIITA	32	activator	collectri
SATB2	32	activator	collectri
STAT4	31	activator	collectri
POU4F1	31	activator	collectri
TFDP1	31	activator	collectri
CRX	31	activator	collectri
FOXO4	31	activator	collectri
VSX2	30	activator	collectri
ATF5	30	activator	collectri
ZNF143	30	activator	collectri
ZNF148	30	activator	collectri
KLF10	30	activator	collectri
HESX1	30	activator	collectri
ZEB2	29	activator	collectri
LMO2	29	activator	collectri
SFPQ	29	activator	collectri
POU3F2	29	activator	collectri
KLF1	29	activator	collectri
GRHL3	29	activator	collectri
MSC	29	activator	collectri
MXD1	28	activator	collectri
MEF2D	28	activator	collectri
HHEX	28	activator	collectri
ZNF354C	28	activator	collectri
NFIX	28	activator	collectri
TBX15	28	activator	collectri
NR1D1	28	repressor	collectri
BHLHE41	28	activator	collectri
ELK3	28	activator	collectri
BCL3	28	activator	collectri
IRF9	27	activator	collectri
MYF5	27	activator	collectri
ETV6	27	repressor	collectri
GTF3A	27	activator	collectri
GATA5	27	activator	collectri
ARX	27	activator	collectri
KLF11	27	activator	collectri
KLF15	27	activator	collectri
HDAC3	27	repressor	collectri
NFIB	26	activator	collectri
ZGLP1	26	activator	collectri
TFAP2B	26	activator	collectri
YBX3	26	activator	collectri
HOXA1	26	activator	collectri
FOXL2	26	activator	collectri
EOMES	26	activator	collectri
KLF9	26	activator	collectri
MSX1	26	activator	collectri
NKX2-2	26	activator	collectri
TEAD1	25	activator	collectri
LITAF	25	activator	collectri
TBX5	25	activator	collectri
HSF2	25	activator	collectri
PAX2	25	activator	collectri
NEUROG2	25	activator	collectri
ESRRG	25	activator	collectri
ZNF384	25	activator	collectri
RFX5	25	activator	collectri
FOXC2	24	activator	collectri
SMAD6	24	repressor	collectri
BCL11B	24	activator	collectri
RFX1	24	activator	collectri
VHL	24	mixed	collectri
POU3F1	24	activator	collectri
SOX6	24	activator	collectri
HDAC4	24	repressor	collectri
MEIS1	24	activator	collectri
MAFK	24	activator	collectri
SP2	23	activator	collectri
NFYC	23	activator	collectri
PITX3	23	activator	collectri
ETV5	23	activator	collectri
MZF1	23	activator	collectri
AIRE	23	activator	collectri
