TF	n_activating	n_repressing	n_targets	dominant_sign
ABL1	9	4	10	activator
ADNP	1	0	1	activator
ADNP2	1	0	1	activator
AEBP1	4	1	5	activator
AEBP2	0	1	1	repressor
AHR	176	50	193	activator
AHRR	4	3	5	activator
AIP	1	5	6	repressor
AIRE	22	2	23	activator
AKNA	2	0	2	activator
ALX1	3	1	4	activator
ALX3	2	0	2	activator
ALX4	0	1	1	repressor
ANKRD1	0	1	1	repressor
APBB1	0	2	2	repressor
APEX1	39	5	41	activator
AR	476	111	512	activator
ARHGAP35	4	2	4	activator
ARID1A	8	0	8	activator
ARID1B	5	0	5	activator
ARID3A	7	2	7	activator
ARID3B	6	0	6	activator
ARID4A	4	1	5	activator
ARID4B	1	11	12	repressor
ARID5A	4	0	4	activator
ARID5B	8	1	9	activator
ARNT	62	12	68	activator
ARNT2	2	0	2	activator
ARX	20	8	27	activator
ASCL1	64	11	70	activator
ASCL2	9	3	10	activator
ASCL4	3	0	3	activator
ASH1L	3	2	4	activator
ASXL1	5	2	5	activator
ATF1	81	9	85	activator
ATF2	114	12	118	activator
ATF3	83	44	109	activator
ATF4	122	17	127	activator
ATF5	30	7	30	activator
ATF6	51	13	57	activator
ATF6B	4	1	4	activator
ATF7	7	2	8	activator
ATOH1	12	2	14	activator
ATOH7	10	3	11	activator
ATOH8	4	0	4	activator
ATRX	3	2	4	activator
BACH1	12	10	16	activator
BACH2	4	6	8	repressor
BARHL2	1	0	1	activator
BARX1	8	1	8	activator
BARX2	15	1	15	activator
BATF	16	1	16	activator
BATF2	1	0	1	activator
BATF3	0	3	3	repressor
BBX	1	0	1	activator
BCL11A	13	6	16	activator
BCL11B	22	10	24	activator
BCL3	25	9	28	activator
BCL6	69	57	99	activator
BCL6B	3	1	3	activator
BCLAF1	8	0	8	activator
BCOR	4	7	7	repressor
BHLHA15	18	4	20	activator
BHLHE22	1	1	2	mixed
BHLHE23	3	0	3	activator
BHLHE40	32	21	43	activator
BHLHE41	19	18	28	activator
BMAL1	55	9	58	activator
BMAL2	9	1	9	activator
BPTF	4	1	4	activator
BRCA1	46	31	60	activator
BRD4	11	1	11	activator
BRD7	2	1	3	activator
BSX	4	0	4	activator
BTAF1	0	2	2	repressor
BTG2	4	3	7	activator
CAMTA1	5	0	5	activator
CARF	3	0	3	activator
CASZ1	4	0	4	activator
CBFA2T3	2	3	3	repressor
CBFB	4	1	4	activator
CC2D1A	0	1	1	repressor
CC2D1B	0	1	1	repressor
CCDC62	1	0	1	activator
CCND1	1	0	1	activator
CDC5L	1	0	1	activator
CDX1	41	6	43	activator
CDX2	71	14	77	activator
CDX4	3	0	3	activator
CEBPA	198	46	233	activator
CEBPB	437	68	449	activator
CEBPD	92	15	96	activator
CEBPE	31	6	36	activator
CEBPG	205	8	205	activator
CEBPZ	17	2	19	activator
CGGBP1	0	1	1	repressor
CHD4	3	6	6	repressor
CIC	2	2	3	mixed
CIITA	27	7	32	activator
CITED2	2	3	4	repressor
CLOCK	63	11	67	activator
CNOT4	1	0	1	activator
CNOT7	2	4	4	repressor
COPS5	1	1	2	mixed
CREB1	435	50	464	activator
CREB3	16	0	15	activator
CREB3L1	7	4	11	activator
CREB3L2	2	0	2	activator
CREB3L3	9	0	9	activator
CREB3L4	2	1	2	activator
CREB5	6	7	12	repressor
CREBBP	35	4	36	activator
CREBL2	2	0	2	activator
CREBRF	2	2	2	mixed
CREBZF	18	7	20	activator
CREG1	0	1	1	repressor
CREM	66	45	87	activator
CRX	28	7	31	activator
CTBP1	0	11	10	repressor
CTBP2	15	11	16	activator
CTCF	137	35	145	activator
CTCFL	11	1	11	activator
CTNNB1	296	69	340	activator
CUX1	200	66	112	activator
CUX2	1	1	2	mixed
CXXC1	21	0	21	activator
DACH1	4	8	8	repressor
DACH2	1	2	2	repressor
DAXX	0	5	5	repressor
DBP	37	1	36	activator
DDIT3	172	68	100	activator
DDX5	2	1	2	activator
DEAF1	11	5	13	activator
DLX1	9	3	10	activator
DLX2	20	4	22	activator
DLX3	20	1	20	activator
DLX4	42	5	43	activator
DLX5	36	1	37	activator
DLX6	2	0	2	activator
DMAP1	5	0	5	activator
DMBX1	4	0	4	activator
DMRT1	7	2	8	activator
DMRT3	2	0	2	activator
DMRTA1	4	0	3	activator
DMRTA2	1	0	1	activator
DMTF1	22	2	19	activator
DNAJC1	1	0	1	activator
DNAJC2	1	0	1	activator
DNMT1	168	94	185	activator
DNMT3A	41	41	60	mixed
DNMT3B	63	35	70	activator
DNMT3L	2	1	3	activator
DOT1L	6	3	8	activator
DR1	3	1	4	activator
DRAP1	1	0	1	activator
DRGX	1	0	1	activator
DTX1	1	0	1	activator
DUX4	4	0	4	activator
E2F1	285	56	314	activator
E2F2	46	11	50	activator
E2F3	68	4	68	activator
E2F4	143	34	169	activator
E2F5	8	4	12	activator
E2F6	29	15	41	activator
E2F7	2	5	7	repressor
E2F8	2	1	3	activator
E4F1	8	1	9	activator
EBF1	30	6	33	activator
EBF2	2	0	2	activator
EBF3	9	0	9	activator
EGR1	323	66	359	activator
EGR2	69	12	73	activator
EGR3	31	5	32	activator
EGR4	14	1	15	activator
EHF	12	4	13	activator
EID1	1	1	1	mixed
EID2B	0	1	1	repressor
