	BLCA	LGG	BRCA	CESC	COAD	ESCA	HNSC	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	STAD	TGCT	THCA	UCEC	Healthy
BLCA	1.0	0.03178178622471172	0.05253903362948222	0.05565897548947566	0.04787411819473125	0.04767205421131702	0.06637532963056732	0.04442499498175084	0.0377275007524832	0.03424044511957119	0.057339329522613454	0.06188889549989092	0.042496013719655376	0.03881836501136188	0.03307505290959019	0.054028365259759036	0.034929672488016025	0.05029456513035222	0.06520124210419465	0.03876552955467092	0.06029257463948457	0.04643018717747037	0.04049366362836472
LGG	0.03178178622471172	1.0	0.05651661402430714	0.055893682832256965	0.04286411423358051	0.04211662011343836	0.04283865380793292	0.04407411888993861	0.04040580667515065	0.026074057707024218	0.06022423966013987	0.036988234000775645	0.03801328818331415	0.04622461492448034	0.03395185127011552	0.039769703852362365	0.022937693176284978	0.05675726886964153	0.034204240976709786	0.0730055841934878	0.04088149459575259	0.04206554370827692	0.037279864332985545
BRCA	0.05253903362948222	0.05651661402430714	1.0	0.07648491957860543	0.052722938606254224	0.06773075673089915	0.06491391837176165	0.06398681198419377	0.04840631342414247	0.04772906645620247	0.08168077753542369	0.07007779153572113	0.05466164247028735	0.06895128680842967	0.04737925266274037	0.05643355569621232	0.042813800455095224	0.05951479820518833	0.05602940857846501	0.05962096152178041	0.05750760268641627	0.06827720697965217	0.05113677335613404
CESC	0.05565897548947566	0.055893682832256965	0.07648491957860543	1.0	0.04905286919928228	0.09148927757054924	0.07483984934672586	0.051917146666602375	0.045943086261624994	0.039345020792542894	0.06585922863381302	0.0753757943570453	0.047289096752447426	0.06297317447847603	0.03644465545053018	0.04363290020981338	0.039916783685749115	0.05254049988872603	0.05465308913470611	0.056640154254037116	0.04862467910569979	0.0647371284352801	0.04975514603649058
COAD	0.04787411819473125	0.04286411423358051	0.052722938606254224	0.04905286919928228	1.0	0.04944759693921417	0.05213011173429973	0.0584245877353669	0.03250210063090135	0.030010577183769552	0.052718086610019824	0.04620136449828297	0.05633895373240004	0.05140986314299198	0.026990894426781372	0.046593176935500025	0.05440707401899538	0.05299897119899223	0.06723658803383685	0.04192552066781736	0.05470780601036194	0.04854015089969793	0.03670713805125696
ESCA	0.04767205421131702	0.04211662011343836	0.06773075673089915	0.09148927757054924	0.04944759693921417	1.0	0.07051845181434888	0.04855520858223405	0.033740671833174425	0.034341043218096036	0.05838699043329334	0.0650947728460357	0.041104745609566194	0.061350263390870095	0.031460257315333744	0.03996404292375976	0.03918190098470233	0.04661909531482322	0.06313150659812537	0.053239805304076675	0.0420557607646539	0.04833252193305847	0.04400363578035609
HNSC	0.06637532963056732	0.04283865380793292	0.06491391837176165	0.07483984934672586	0.05213011173429973	0.07051845181434888	1.0	0.05610824905092553	0.03981986827604027	0.034417578123968756	0.05852454599342566	0.07936004630028691	0.05130337347869289	0.05787405755548476	0.03244365239606082	0.0647371545648108	0.03564142994826876	0.056977900055656956	0.06457350223659351	0.052275843558729655	0.0607003082953425	0.04332063570323154	0.04471751681840524
KIRC	0.04442499498175084	0.04407411888993861	0.06398681198419377	0.051917146666602375	0.0584245877353669	0.04855520858223405	0.05610824905092553	1.0	0.06715567325043088	0.04304910504618275	0.055682547808969335	0.04897486308102795	0.05387542327880118	0.06087393281392972	0.04270886477975734	0.052813580293812785	0.032615098485650744	0.055433273549548044	0.05236830262491156	0.05097635870716798	0.06479407134446602	0.0447064819041975	0.051259683764782
KIRP	0.0377275007524832	0.04040580667515065	0.04840631342414247	0.045943086261624994	0.03250210063090135	0.033740671833174425	0.03981986827604027	0.06715567325043088	1.0	0.03651831301479547	0.045746972648479475	0.0415965504132539	0.03184507629538533	0.03591435579550192	0.034144327277347224	0.04872960240885838	0.026951829033442933	0.046483205971796185	0.03948518355670635	0.04016852091819802	0.04229538138146967	0.04177876432787194	0.03977110606762632
LIHC	0.03424044511957119	0.026074057707024218	0.04772906645620247	0.039345020792542894	0.030010577183769552	0.034341043218096036	0.034417578123968756	0.04304910504618275	0.03651831301479547	1.0	0.042085238864126386	0.05462950196297559	0.026712441258589358	0.0322596937242987	0.04456961099768495	0.03123570670971857	0.04072015311885894	0.030988599429146526	0.0401458345959109	0.034438137577898625	0.038231422226281196	0.033200537006516116	0.05706578498704795
