	BLCA	BRCA	CESC	COAD	ESCA	HNSC	Healthy	KIRC	KIRP	LGG	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	STAD	TGCT	THCA	UCEC
BLCA	1.0	0.21031376203789998	0.2231378763866878	0.21046153846153845	0.22962226640159045	0.2189710610932476	0.16869009584664538	0.14441087613293052	0.15876414805750994	0.14583937373151637	0.1731575793888556	0.20784695201037615	0.2555591363196906	0.1526861451460886	0.1901972872996301	0.13838353713092752	0.14674868189806678	0.14599686028257458	0.20330368487928843	0.26363343013875445	0.1712808031639793	0.16544469238125598	0.16601307189542483
BRCA	0.21031376203789998	1.0	0.21659724447292533	0.1935881627620222	0.1928734880679961	0.20174025136964227	0.18719049191152196	0.21566068515497552	0.23705179282868527	0.192885617908617	0.17931456548347613	0.25660377358490566	0.23319395303956256	0.1579454253611557	0.20335761799176433	0.1749061326658323	0.20031152647975078	0.1592891760904685	0.1930835734870317	0.26526592252133946	0.21216	0.18496538081107813	0.20813232253618194
CESC	0.2231378763866878	0.21659724447292533	1.0	0.18914728682170542	0.19404958677685952	0.2592087312414734	0.16269193074158772	0.16925515055467513	0.18655516243165005	0.15049268438339802	0.15631626779763708	0.21311475409836064	0.2506587615283267	0.15049951659684177	0.16723549488054607	0.14859437751004015	0.15741583257506825	0.14400773195876287	0.1793478260869565	0.21213083518577325	0.1885297845373891	0.17625661375661375	0.19005145797598627
COAD	0.21046153846153845	0.1935881627620222	0.18914728682170542	1.0	0.19397668393782383	0.16337245213094503	0.14927261227071473	0.13681667170039263	0.12425328554360812	0.12324849871318273	0.1396778916544656	0.19734713684891622	0.19690880989180834	0.16901860166773572	0.17952659083922534	0.1295413936867183	0.1437389770723104	0.18072289156626506	0.1646039603960396	0.24265644955300128	0.15310427968655818	0.14973092750870529	0.15402149137088897
ESCA	0.22962226640159045	0.1928734880679961	0.19404958677685952	0.19397668393782383	1.0	0.20708446866485014	0.15902140672782875	0.13239526702910137	0.1389514313284014	0.12477231329690346	0.1380272952853598	0.1793828416412343	0.2171447631754503	0.12049770792403405	0.17490247074122237	0.12938943372350523	0.13983840894965818	0.14348118279569894	0.17019167217448777	0.26082474226804125	0.1503831417624521	0.14935940660822658	0.1511265164644714
HNSC	0.2189710610932476	0.20174025136964227	0.2592087312414734	0.16337245213094503	0.20708446866485014	1.0	0.15290620871862615	0.1524506683640993	0.17108667529107374	0.14558111380145278	0.14473282442748092	0.18520986009327114	0.2405189620758483	0.1293131247984521	0.1554582421019706	0.13495024875621892	0.15750463248919086	0.13526727509778358	0.17374392220421395	0.19699872286079181	0.1651376146788991	0.16728002676480427	0.16273504273504275
Healthy	0.16869009584664538	0.18719049191152196	0.16269193074158772	0.14927261227071473	0.15902140672782875	0.15290620871862615	1.0	0.17997293640054127	0.18197221280921722	0.16305732484076432	0.14575411913814956	0.16695059625212946	0.15813204508856682	0.10749506903353057	0.1501937984496124	0.14597588791137178	0.1687681862269641	0.12115127175368139	0.18720217835262082	0.22368866328257192	0.1770557029177719	0.1636615811373093	0.153954802259887
KIRC	0.14441087613293052	0.21566068515497552	0.16925515055467513	0.13681667170039263	0.13239526702910137	0.1524506683640993	0.17997293640054127	1.0	0.25450762829403606	0.19080604534005038	0.15939337666357165	0.20426829268292682	0.16839134524929444	0.12870967741935485	0.13884603517432892	0.16517571884984025	0.18325434439178515	0.13465927616563417	0.16521739130434782	0.19071837253655435	0.18939883645765998	0.17294751009421266	0.1798611111111111
KIRP	0.15876414805750994	0.23705179282868527	0.18655516243165005	0.12425328554360812	0.1389514313284014	0.17108667529107374	0.18197221280921722	0.25450762829403606	1.0	0.19873217115689382	0.14802329144958626	0.21372482075793786	0.1854915685650652	0.1153968759961747	0.1491282689912827	0.16778738392571246	0.18625277161862527	0.14285714285714285	0.18739744010502132	0.19872	0.20143650016323866	0.16823056300268097	0.1786333680194242
LGG	0.14583937373151637	0.192885617908617	0.15049268438339802	0.12324849871318273	0.12477231329690346	0.14558111380145278	0.16305732484076432	0.19080604534005038	0.19873217115689382	1.0	0.155096011816839	0.1768987341772152	0.16050119331742244	0.12018348623853212	0.12719298245614036	0.1611822059719683	0.16826060968320383	0.1226124460874923	0.1558679706601467	0.17593984962406015	0.17016742770167428	0.15069356872635561	0.15051679586563307
LIHC	0.1731575793888556	0.17931456548347613	0.15631626779763708	0.1396778916544656	0.1380272952853598	0.14473282442748092	0.14575411913814956	0.15939337666357165	0.14802329144958626	0.155096011816839	1.0	0.17931476144732628	0.17428397318708105	0.141643059490085	0.14857142857142858	0.14324651726226528	0.1540524433849821	0.10913003381494006	0.1494323412089598	0.17858229388500152	0.15393939393939393	0.16731266149870802	0.15191114015027768
