	healthy_pooled	tumour_bladder_urothelial_carcinoma	tumour_brain_lower_grade_glioma	tumour_breast_invasive_carcinoma	tumour_cervical_endocervical_cancer	tumour_colon_adenocarcinoma	tumour_esophageal_carcinoma	tumour_head_neck_squamous_cell_carcinoma	tumour_kidney_clear_cell_carcinoma	tumour_kidney_papillary_cell_carcinoma	tumour_liver_hepatocellular_carcinoma	tumour_lung_adenocarcinoma	tumour_lung_squamous_cell_carcinoma	tumour_ovarian_serous_cystadenocarcinoma	tumour_pancreatic_adenocarcinoma	tumour_pheochromocytoma_paraganglioma	tumour_prostate_adenocarcinoma	tumour_rectum_adenocarcinoma	tumour_sarcoma	tumour_stomach_adenocarcinoma	tumour_testicular_germ_cell_tumor	tumour_thyroid_carcinoma	tumour_uterine_corpus_endometrioid_carcinoma
healthy_pooled	1.0	0.0	0.028169014084507043	0.03571428571428571	0.0	0.0	0.04597701149425287	0.0	0.0	0.0	0.0	0.01282051282051282	0.028169014084507043	0.014705882352941176	0.0	0.013333333333333334	0.0	0.0136986301369863	0.0	0.02666666666666667	0.010309278350515464	0.01098901098901099	0.0
tumour_bladder_urothelial_carcinoma	0.0	1.0	0.0	0.0	0.06521739130434782	0.0	0.04225352112676056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	0.0	0.01694915254237288	0.0	0.013513513513513514	0.0
tumour_brain_lower_grade_glioma	0.028169014084507043	0.0	1.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0
tumour_breast_invasive_carcinoma	0.03571428571428571	0.0	0.014492753623188406	1.0	0.0	0.0	0.011494252873563218	0.03076923076923077	0.013157894736842105	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0
tumour_cervical_endocervical_cancer	0.0	0.06521739130434782	0.0	0.0	1.0	0.0	0.06349206349206349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.0
tumour_colon_adenocarcinoma	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.018518518518518517	0.0	0.017543859649122806	0.0	0.02127659574468085	0.0	0.0	0.0	0.0392156862745098	0.0	0.0	0.0	0.0	0.0
tumour_esophageal_carcinoma	0.04597701149425287	0.04225352112676056	0.0	0.011494252873563218	0.06349206349206349	0.0	1.0	0.0	0.0125	0.0	0.0	0.02564102564102564	0.027777777777777776	0.014492753623188406	0.014925373134328358	0.0	0.0	0.0273972602739726	0.0	0.04	0.042105263157894736	0.0	0.0
tumour_head_neck_squamous_cell_carcinoma	0.0	0.0	0.0	0.03076923076923077	0.0	0.0	0.0	1.0	0.01694915254237288	0.0	0.025	0.0	0.0	0.0	0.021739130434782608	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0
tumour_kidney_clear_cell_carcinoma	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0125	0.01694915254237288	1.0	0.06451612903225806	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.012345679012345678	0.03389830508474576
tumour_kidney_papillary_cell_carcinoma	0.0	0.0	0.0	0.0	0.0	0.018518518518518517	0.0	0.0	0.06451612903225806	1.0	0.0	0.031746031746031744	0.0	0.0	0.0	0.01639344262295082	0.0196078431372549	0.01694915254237288	0.0	0.0	0.0	0.0	0.03636363636363636
tumour_liver_hepatocellular_carcinoma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	1.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.014705882352941176	0.016129032258064516	0.0
