cohort	old_feedback	new_feedback	old_ffl	new_ffl	old_tf2mir	new_tf2mir	old_intragenic_frac	new_intragenic_frac	old_mir2tf	new_mir2tf	l2_edges_used	l2_edges_used_new	bridge_match_pct_old	bridge_match_pct_new	l2_identical	fb_ratio	ffl_ratio
healthy_pooled	79	45	63061	33095	8342	8107	0.812	0.809	15010	11678	371383	371383	94.1	95.2	True	0.57	0.52
tumour_bladder_urothelial_carcinoma	55	28	14819	8061	4258	4112	0.805	0.809	11326	9135	200848	200848	93.6	94.8	True	0.51	0.54
tumour_brain_lower_grade_glioma	60	28	20624	12118	4295	4161	0.811	0.811	11307	8534	192002	192002	93.9	95.5	True	0.47	0.59
tumour_breast_invasive_carcinoma	81	42	40535	24972	3732	3614	0.809	0.809	15944	11784	172693	172693	94.1	95.3	True	0.52	0.62
tumour_cervical_endocervical_cancer	55	21	19045	10087	4260	4137	0.792	0.796	12283	9729	206224	206224	93.8	95.1	True	0.38	0.53
tumour_colon_adenocarcinoma	49	24	12518	7693	3854	3770	0.823	0.819	10935	8536	185707	185707	94.1	95.3	True	0.49	0.61
tumour_esophageal_carcinoma	51	46	35155	24260	4797	4644	0.825	0.832	9923	8215	223660	223660	94.0	95.3	True	0.9	0.69
tumour_head_neck_squamous_cell_carcinoma	44	25	20152	11286	4098	3980	0.808	0.811	12184	9255	193782	193782	93.6	94.6	True	0.57	0.56
tumour_kidney_clear_cell_carcinoma	43	35	20574	13977	4146	3995	0.827	0.834	12818	9947	203071	203071	93.8	95.1	True	0.81	0.68
tumour_kidney_papillary_cell_carcinoma	57	31	18098	13268	4263	4073	0.824	0.82	12044	9727	206070	206070	94.0	95.2	True	0.54	0.73
tumour_liver_hepatocellular_carcinoma	44	16	19485	12779	4316	4179	0.788	0.787	11199	8490	201184	201184	93.7	94.7	True	0.36	0.66
tumour_lung_adenocarcinoma	73	34	20432	11648	4105	4003	0.82	0.82	14632	10816	191529	191529	94.0	95.2	True	0.47	0.57
tumour_lung_squamous_cell_carcinoma	46	28	16152	10401	4165	4059	0.825	0.82	13791	10627	200327	200327	94.0	95.3	True	0.61	0.64
tumour_ovarian_serous_cystadenocarcinoma	57	25	13185	6092	4336	4163	0.825	0.832	10227	7147	209008	209008	94.1	95.7	True	0.44	0.46
tumour_pancreatic_adenocarcinoma	41	22	16233	9826	4899	4758	0.806	0.804	9607	7389	221452	221452	94.3	95.5	True	0.54	0.61
tumour_pheochromocytoma_paraganglioma	71	31	17807	11137	4858	4737	0.817	0.818	10836	8482	221138	221138	94.1	95.3	True	0.44	0.63
tumour_prostate_adenocarcinoma	42	21	14327	8064	3853	3683	0.811	0.812	10158	7567	187531	187531	93.9	95.2	True	0.5	0.56
tumour_rectum_adenocarcinoma	46	30	15532	9523	4298	4167	0.828	0.825	8281	6533	218702	218702	94.1	95.3	True	0.65	0.61
tumour_sarcoma	51	36	18526	10334	4826	4667	0.805	0.804	9429	8087	215073	215073	94.4	95.5	True	0.71	0.56
tumour_stomach_adenocarcinoma	45	32	13249	8036	4557	4414	0.811	0.805	12256	9227	206517	206517	94.2	95.3	True	0.71	0.61
tumour_testicular_germ_cell_tumor	93	53	38491	26091	5602	5465	0.799	0.799	14153	10886	237587	237587	93.8	94.7	True	0.57	0.68
tumour_thyroid_carcinoma	83	47	32045	20843	4101	4006	0.824	0.824	14742	10825	195935	195935	94.0	95.3	True	0.57	0.65
tumour_uterine_corpus_endometrioid_carcinoma	41	26	15043	9145	4051	3972	0.826	0.829	11616	9056	190410	190410	93.9	95.0	True	0.63	0.61
