	BLCA	BRCA	CESC	COAD	ESCA	HNSC	KIRC	KIRP	LGG	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	STAD	TGCT	THCA	UCEC
BLCA	1.0	0.14379039784314404	0.1657388429752066	0.13144794077430602	0.14608068912576821	0.16602944907654485	0.1020602496523752	0.11326237511828695	0.08278947530335193	0.10485281074460447	0.1520376993445163	0.1720516272845236	0.1025836077740155	0.116369396746811	0.0865408418482761	0.10774540564769162	0.10337045863528038	0.11994574930372225	0.1545805982928158	0.1007555399774117	0.11586493114506696	0.1263410043630764
BRCA	0.14379039784314404	1.0	0.1320578033816027	0.12735312648871266	0.11727573457871181	0.13863590442051382	0.1393126243571483	0.13174049984158637	0.10360096170652415	0.12041036312870072	0.16170815551970466	0.15615543170151097	0.10173904696386718	0.12986246432238815	0.10058055480256618	0.13312783390342853	0.1003655174421264	0.11441971905977419	0.13840079489593138	0.10602352242639317	0.13592411573372387	0.148583484026522
CESC	0.1657388429752066	0.1320578033816027	1.0	0.11907599506072979	0.16058417530747873	0.17395542692754276	0.10359019470778125	0.10804694770242404	0.07961394083410821	0.09839910478699464	0.145403520908094	0.1800056469828977	0.09732463753665423	0.11129973858038766	0.07926737789631605	0.09100174786504574	0.09756213309794654	0.10450791753284139	0.14056091575337862	0.09869214252086946	0.10902118132142184	0.1295258747985453
COAD	0.13144794077430602	0.12735312648871266	0.11907599506072979	1.0	0.13116661817879557	0.11344032820443127	0.10816795912967372	0.09896196679974785	0.07710624585516096	0.10167509711794208	0.14405301144344462	0.13531810016124063	0.09358830146231721	0.12331924520443563	0.07715556397483973	0.10535374416042109	0.18472802790276632	0.09089805006409823	0.17348370434580568	0.09165555119654767	0.10616667172836881	0.12852585335239358
ESCA	0.14608068912576821	0.11727573457871181	0.16058417530747873	0.13116661817879557	1.0	0.14572799054098237	0.10184628773907457	0.09205891291041933	0.06487954556752092	0.09666010928961749	0.1298919067035839	0.16719822943314933	0.08303709040936398	0.1182177297548507	0.07538998240282967	0.08491509866911427	0.10863242558386467	0.0934421068227276	0.18777606288556106	0.09701886959924796	0.09317229952595002	0.11576366648260629
HNSC	0.16602944907654485	0.13863590442051382	0.17395542692754276	0.11344032820443127	0.14572799054098237	1.0	0.10202310001051063	0.1116045009121816	0.08215502336648578	0.09514199810451322	0.14297953874553115	0.20195496881106728	0.09394235335226815	0.11395898876656628	0.07538876645177237	0.1092576636940558	0.09303055426743298	0.10529644751535455	0.135259664517843	0.09591279001451732	0.11720762779213194	0.10696628660285315
KIRC	0.1020602496523752	0.1393126243571483	0.10359019470778125	0.10816795912967372	0.10184628773907457	0.10202310001051063	1.0	0.17658699573801498	0.0869815072825669	0.1137339227652043	0.13115334451276317	0.11723290735410058	0.0847740382974366	0.10090796709152138	0.10049888167695686	0.1076678134990149	0.08457726960814893	0.10059700619566261	0.11510282093936927	0.10335010104884274	0.13293017383985836	0.1138197144756166
KIRP	0.11326237511828695	0.13174049984158637	0.10804694770242404	0.09896196679974785	0.09205891291041933	0.1116045009121816	0.17658699573801498	1.0	0.10277410947762435	0.11832948576399344	0.12316555813828604	0.11310716192625636	0.0815578739790276	0.10590721446825241	0.09206972335463956	0.1020162765975986	0.08117376455008016	0.09572309373292749	0.1077922605270638	0.09250569070587478	0.13131032723480401	0.1119668466741314
LGG	0.08278947530335193	0.10360096170652415	0.07961394083410821	0.07710624585516096	0.06487954556752092	0.08215502336648578	0.0869815072825669	0.10277410947762435	1.0	0.07765905652831633	0.0944317198962104	0.09232563322879021	0.07265675500969619	0.08646516237231286	0.08289277301253349	0.08596003200416799	0.06327466070796195	0.0830589470066735	0.0803852075523199	0.08246231863642767	0.08884951516274474	0.09151767169948273
LIHC	0.10485281074460447	0.12041036312870072	0.09839910478699464	0.10167509711794208	0.09666010928961749	0.09514199810451322	0.1137339227652043	0.11832948576399344	0.07765905652831633	1.0	0.12272127690206501	0.11142403290538933	0.08280981261881054	0.10047320895387343	0.08461339736829845	0.09720346985059876	0.08671592860983304	0.09245578392830445	0.11050182991129583	0.09122781417281713	0.11979117621578458	0.1074842562159721
