ensg	symbol	biotype	chrom	start	end	strand	host_symbol	host_ensg	host_type
ENSG00000264341		miRNA	1	5564071	5564143	1		ENSG00000289893	antisense
ENSG00000264101	MIR4689	miRNA	1	5862672	5862741	-1			intergenic
ENSG00000284357	MIR34A	miRNA	1	9151668	9151777	-1	MIR34AHG	ENSG00000228526	intragenic
ENSG00000207941	MIR552	miRNA	1	34669599	34669694	-1		ENSG00000287703	intragenic
ENSG00000264698	MIR4255	miRNA	1	37161563	37161634	1		ENSG00000223944	antisense
ENSG00000283724	MIR6732	miRNA	1	37480230	37480289	1	ZC3H12A	ENSG00000163874	intragenic
ENSG00000284410	MIR6733	miRNA	1	43171652	43171712	-1	EBNA1BP2	ENSG00000117395	intragenic
ENSG00000283477	MIR6079	miRNA	1	43838622	43838683	1		ENSG00000284989	intragenic
ENSG00000283477	MIR6079	miRNA	1	43838622	43838683	1	ST3GAL3	ENSG00000126091	intragenic
ENSG00000263675	MIR5581	miRNA	1	37500935	37500994	-1	MEAF6	ENSG00000163875	intragenic
ENSG00000276081	MIR7156	miRNA	1	77060143	77060202	1	ST6GALNAC5	ENSG00000117069	intragenic
ENSG00000198974	MIR30E	miRNA	1	40754355	40754446	1	NFYC	ENSG00000066136	intragenic
ENSG00000207962	MIR30C1	miRNA	1	40757284	40757372	1	NFYC	ENSG00000066136	intragenic
ENSG00000263526	MIR378G	miRNA	1	94745860	94745900	-1	SLC44A3-AS1	ENSG00000293271	intragenic
ENSG00000211575	MIR760	miRNA	1	93846832	93846911	1	BCAR3	ENSG00000137936	antisense
ENSG00000275455	MIR7852	miRNA	1	107897223	107897304	1	VAV3	ENSG00000134215	antisense
ENSG00000215930	MIR942	miRNA	1	117094643	117094728	1	TTF2	ENSG00000116830	intragenic
ENSG00000283296	MIR4256	miRNA	1	112461770	112461833	-1	CTTNBP2NL	ENSG00000143079	antisense
ENSG00000221545	MIR1255B2	miRNA	1	167998660	167998726	1	DCAF6	ENSG00000143164	intragenic
ENSG00000283340	MIR3119-1	miRNA	1	170151378	170151462	-1	NTMT2	ENSG00000203740	antisense
ENSG00000263390	MIR3119-2	miRNA	1	170151378	170151462	1	NTMT2	ENSG00000203740	intragenic
ENSG00000264377	MIR4671	miRNA	1	234306467	234306539	1	SLC35F3	ENSG00000183780	intragenic
ENSG00000284485	MIR205	miRNA	1	209432133	209432242	1	MIR205HG	ENSG00000230937	intragenic
ENSG00000264358	MIR3122	miRNA	1	212077613	212077685	1	DTL	ENSG00000143476	intragenic
ENSG00000264500	MIR3124	miRNA	1	248826377	248826443	1		ENSG00000309922	intragenic
ENSG00000264500	MIR3124	miRNA	1	248826377	248826443	1	SH3BP5L	ENSG00000175137	antisense
ENSG00000284005	MIR6084	miRNA	1	20633679	20633788	1	PINK1	ENSG00000158828	intragenic
ENSG00000221680	MIR1278	miRNA	1	193136503	193136583	1		ENSG00000308280	antisense
ENSG00000221680	MIR1278	miRNA	1	193136503	193136583	1	CDC73	ENSG00000134371	intragenic
ENSG00000265831	MIR3123	miRNA	1	241132272	241132346	1	RGS7	ENSG00000182901	antisense
ENSG00000266458	MIR4259	miRNA	1	159899979	159900079	-1	CFAP45	ENSG00000213085	intragenic
ENSG00000266580	MIR4254	miRNA	1	31758660	31758735	-1	ADGRB2	ENSG00000121753	intragenic
ENSG00000284586	MIR92B	miRNA	1	155195177	155195272	1	THBS3-AS1	ENSG00000231064	intragenic
ENSG00000264881		miRNA	1	10227718	10227803	1	KIF1B	ENSG00000054523	intragenic
ENSG00000283799	MIR1182	miRNA	1	231019828	231019924	-1	FAM89A	ENSG00000182118	intragenic
ENSG00000283881	MIR3916	miRNA	1	247201967	247202060	-1	ZNF731P	ENSG00000227671	intragenic
ENSG00000283881	MIR3916	miRNA	1	247201967	247202060	-1		ENSG00000290683	intragenic
ENSG00000277817	MIR6738	miRNA	1	155951273	155951336	-1	ARHGEF2	ENSG00000116584	intragenic
ENSG00000207933	MIR9-1	miRNA	1	156420341	156420429	-1	MIR9-1HG	ENSG00000125462	intragenic
ENSG00000276869	MIR6729	miRNA	1	12029158	12029222	1	MIIP	ENSG00000116691	intragenic
ENSG00000283789	MIR7846	miRNA	1	12166943	12167038	1		ENSG00000301863	antisense
ENSG00000263676	MIR4632	miRNA	1	12191713	12191773	1	TNFRSF1B	ENSG00000028137	intragenic
ENSG00000284035	MIR5187	miRNA	1	161227186	161227261	1	TOMM40L	ENSG00000158882	intragenic
ENSG00000284035	MIR5187	miRNA	1	161227186	161227261	1	APOA2	ENSG00000158874	antisense
ENSG00000283938	MIR3917	miRNA	1	25906362	25906454	-1		ENSG00000294297	antisense
ENSG00000283938	MIR3917	miRNA	1	25906362	25906454	-1	STMN1	ENSG00000117632	intragenic
ENSG00000263381	MIR5584	miRNA	1	44545493	44545552	1		ENSG00000308471	antisense
ENSG00000263381	MIR5584	miRNA	1	44545493	44545552	1	RNF220	ENSG00000187147	intragenic
ENSG00000276835	MIR6127	miRNA	1	22633258	22633366	-1			intergenic
ENSG00000265422	MIR4684	miRNA	1	22719517	22719598	1	EPHB2	ENSG00000133216	intragenic
ENSG00000263811	MIR3675	miRNA	1	16858949	16859021	-1	PDE4DIPP9	ENSG00000230239	antisense
ENSG00000263811	MIR3675	miRNA	1	16858949	16859021	-1	CROCC	ENSG00000058453	antisense
ENSG00000266634	MIR3972	miRNA	1	17277889	17277975	1	PADI3	ENSG00000142619	intragenic
ENSG00000276584	MIR6737	miRNA	1	153962351	153962420	-1		ENSG00000285779	intragenic
ENSG00000276584	MIR6737	miRNA	1	153962351	153962420	-1	SLC39A1	ENSG00000143570	intragenic
ENSG00000263987	MIR5698	miRNA	1	154104521	154104592	-1	NUP210L	ENSG00000143552	intragenic
ENSG00000283701	MIR555	miRNA	1	155346350	155346445	-1	ASH1L	ENSG00000116539	intragenic
ENSG00000274975	MIR6735	miRNA	1	43448539	43448611	1	SZT2-AS1	ENSG00000229372	antisense
ENSG00000274975	MIR6735	miRNA	1	43448539	43448611	1	SZT2	ENSG00000198198	intragenic
ENSG00000221406	MIR320B2	miRNA	1	224257004	224257141	-1	NVL	ENSG00000143748	intragenic
ENSG00000266618	MIR4742	miRNA	1	224398227	224398311	-1	WDR26	ENSG00000162923	intragenic
ENSG00000283933	MIR6878	miRNA	1	150492345	150492410	1	TARS2	ENSG00000143374	intragenic
ENSG00000264553	MIR4257	miRNA	1	150551929	150552014	1	ADAMTSL4-AS2	ENSG00000237781	antisense
ENSG00000264553	MIR4257	miRNA	1	150551929	150552014	1	ADAMTSL4	ENSG00000143382	intragenic
ENSG00000284163	MIR3620	miRNA	1	228097263	228097341	1	ARF1	ENSG00000143761	intragenic
ENSG00000284311	MIR6742	miRNA	1	228397048	228397109	-1	TRIM11	ENSG00000154370	intragenic
ENSG00000266174	MIR4666A	miRNA	1	228462074	228462152	1	H2BC26	ENSG00000196890	intragenic
ENSG00000266174	MIR4666A	miRNA	1	228462074	228462152	1		ENSG00000297366	antisense
ENSG00000284443	MIR197	miRNA	1	109598893	109598967	1	GNAI3	ENSG00000065135	intragenic
ENSG00000283836	MIR6734	miRNA	1	43364648	43364715	-1	ELOVL1	ENSG00000066322	intragenic
ENSG00000265201	MIR4677	miRNA	1	243346176	243346255	1	SDCCAG8	ENSG00000054282	intragenic
ENSG00000265538	MIR4421	miRNA	1	51059837	51059905	1			intergenic
ENSG00000275816	MIR6500	miRNA	1	51060018	51060103	1			intergenic
ENSG00000207750	MIR553	miRNA	1	100281241	100281308	1	RTCA	ENSG00000137996	intragenic
ENSG00000266203	MIR5585	miRNA	1	32086949	32087007	1	TMEM39B	ENSG00000121775	intragenic
ENSG00000221808	MIR1256	miRNA	1	20988314	20988432	-1	EIF4G3	ENSG00000075151	intragenic
ENSG00000284519	MIR6741	miRNA	1	225922080	225922142	-1		ENSG00000255835	intragenic
ENSG00000284519	MIR6741	miRNA	1	225922080	225922142	-1	PYCR2	ENSG00000143811	intragenic
ENSG00000211581	MIR765	miRNA	1	156936131	156936244	-1	ARHGEF11	ENSG00000132694	intragenic
ENSG00000278267	MIR6859-1	miRNA	1	17369	17436	-1	DDX11L16	ENSG00000290825	antisense
ENSG00000278267	MIR6859-1	miRNA	1	17369	17436	-1	WASH7P	ENSG00000227232	intragenic
ENSG00000278267	MIR6859-1	miRNA	1	17369	17436	-1	WASH7P	ENSG00000310526	intragenic
ENSG00000284332	MIR1302-2	miRNA	1	30366	30503	1	MIR1302-2HG	ENSG00000243485	intragenic
ENSG00000284332	MIR1302-2	miRNA	1	30366	30503	1	WASH7P	ENSG00000310526	antisense
ENSG00000207721	MIR186	miRNA	1	71067631	71067716	-1	ZRANB2	ENSG00000132485	intragenic
ENSG00000264720	MIR3117	miRNA	1	66628440	66628517	1	SGIP1	ENSG00000118473	intragenic
ENSG00000283572	MIR4251	miRNA	1	3127975	3128035	1	PRDM16	ENSG00000142611	intragenic
ENSG00000266564	MIR4418	miRNA	1	22266239	22266300	1		ENSG00000294752	intragenic
ENSG00000278465	MIR6769B	miRNA	1	206474803	206474864	1	IKBKE	ENSG00000263528	intragenic
ENSG00000284154	MIR3605	miRNA	1	33332393	33332492	-1		ENSG00000225313	antisense
ENSG00000284154	MIR3605	miRNA	1	33332393	33332492	-1	PHC2	ENSG00000134686	intragenic
ENSG00000263793	MIR3115	miRNA	1	23044305	23044372	1		ENSG00000240553	antisense
ENSG00000263793	MIR3115	miRNA	1	23044305	23044372	1	KDM1A	ENSG00000004487	intragenic
ENSG00000266802		miRNA	1	23057858	23057934	-1		ENSG00000240553	intragenic
ENSG00000266802		miRNA	1	23057858	23057934	-1	KDM1A	ENSG00000004487	antisense
ENSG00000221390	MIR1295A	miRNA	1	171101728	171101806	-1	FMO1-AS1	ENSG00000231424	intragenic
ENSG00000221390	MIR1295A	miRNA	1	171101728	171101806	-1	FMO3	ENSG00000007933	antisense
ENSG00000283598	MIR1295B	miRNA	1	171101739	171101798	1	FMO1-AS1	ENSG00000231424	antisense
ENSG00000283598	MIR1295B	miRNA	1	171101739	171101798	1	FMO3	ENSG00000007933	intragenic
ENSG00000264349	MIR4258	miRNA	1	154975693	154975783	1	CKS1B	ENSG00000173207	intragenic
ENSG00000266417	MIR4424	miRNA	1	178677749	178677834	1			intergenic
ENSG00000264926	MIR378F	miRNA	1	23929070	23929147	1			intergenic
ENSG00000283844	MIR214	miRNA	1	172138798	172138907	-1	DNM3OS	ENSG00000230630	intragenic
ENSG00000283844	MIR214	miRNA	1	172138798	172138907	-1	DNM3	ENSG00000197959	antisense
ENSG00000283152	MIR3120	miRNA	1	172138808	172138888	1	DNM3OS	ENSG00000230630	antisense
ENSG00000283152	MIR3120	miRNA	1	172138808	172138888	1	DNM3	ENSG00000197959	intragenic
ENSG00000208024	MIR199A2	miRNA	1	172144535	172144644	-1	DNM3OS	ENSG00000230630	intragenic
ENSG00000208024	MIR199A2	miRNA	1	172144535	172144644	-1	DNM3	ENSG00000197959	antisense
ENSG00000221203	MIR1262	miRNA	1	68183518	68183610	-1	GNG12-AS1	ENSG00000232284	antisense
ENSG00000221203	MIR1262	miRNA	1	68183518	68183610	-1	WLS	ENSG00000116729	intragenic
ENSG00000264802	MIR5191	miRNA	1	201719508	201719627	1	IPO9-AS1	ENSG00000231871	antisense
ENSG00000264802	MIR5191	miRNA	1	201719508	201719627	1	NAV1	ENSG00000134369	intragenic
ENSG00000221028	MIR1231	miRNA	1	201808611	201808702	1	IPO9-AS1	ENSG00000231871	antisense
ENSG00000221028	MIR1231	miRNA	1	201808611	201808702	1	NAV1	ENSG00000134369	intragenic
ENSG00000277681	MIR6739	miRNA	1	201863373	201863447	1	IPO9	ENSG00000198700	intragenic
ENSG00000278549	MIR6736	miRNA	1	145850587	145850645	-1	PIAS3	ENSG00000131788	intragenic
ENSG00000207590	MIR215	miRNA	1	220117853	220117962	-1	IARS2	ENSG00000067704	antisense
ENSG00000207590	MIR215	miRNA	1	220117853	220117962	-1	BPNT1	ENSG00000162813	intragenic
ENSG00000207624	MIR194-1	miRNA	1	220118157	220118241	-1	IARS2	ENSG00000067704	antisense
ENSG00000207624	MIR194-1	miRNA	1	220118157	220118241	-1	BPNT1	ENSG00000162813	intragenic
ENSG00000281696	MIR664A	miRNA	1	220200538	220200619	-1	RAB3GAP2	ENSG00000118873	intragenic
